Shift,Model,Scaler,index,train_r2,test_r2,train_mse,test_mse,train_mae_ratio,test_mae_ratio,test_mae_ratio_max,test_mae_ratio_min,test_mae_ratio_mean,train_mae,test_mae,train_rmse,test_rmse
0,ElasticNet,Standard,식음료,0.82,0.8,4406186082516688.0,4301013115612096.0,19.28,19.8,61.86,18.96,35.72222222222222,46833983.67,47295194.18,66379108.78,65582109.72
0,ElasticNet,Standard,소매_편의,0.53,0.37,7.106779990644948e+16,1.327844857704488e+17,24.12,26.53,61.86,18.96,35.72222222222222,108281296.04,122427963.28,266585445.79,364396056.19
0,ElasticNet,Standard,생활서비스,0.79,0.77,5477668157605502.0,5372708909592906.0,28.01,29.77,61.86,18.96,35.72222222222222,41960825.49,43398012.57,74011270.48,73298764.72
0,ElasticNet,Standard,미용_패션,0.81,0.8,4575372068041642.0,3322864421802238.5,33.71,33.43,61.86,18.96,35.72222222222222,29825092.38,28497808.75,67641496.64,57644292.19
0,ElasticNet,Standard,교육_학원,0.73,0.73,485863927947619.8,527751806650565.4,35.34,36.54,61.86,18.96,35.72222222222222,13834154.14,14271854.76,22042321.29,22972849.34
0,ElasticNet,Standard,취미_레저,0.81,0.83,1.4216589583098874e+16,9143469105511128.0,38.72,42.62,61.86,18.96,35.72222222222222,48397683.25,46435014.52,119233340.9,95621488.72
0,ElasticNet,Standard,가구_전자기기,0.77,0.72,8889040297626286.0,1.0786673224460778e+16,48.27,51.99,61.86,18.96,35.72222222222222,51299255.89,53521272.28,94281707.12,103858910.18
0,ElasticNet,Standard,부동산_숙박,0.81,0.78,133100459474885.44,206818537142778.8,53.32,61.86,61.86,18.96,35.72222222222222,5925811.35,7503523.11,11536917.24,14381186.92
0,ElasticNet,Default,식음료,0.29,0.29,1.7778269156718598e+16,1.4961582018716856e+16,38.42,37.31,118.38,37.31,71.42222222222222,93328990.5,89104871.82,133335175.99,122317545.83
0,ElasticNet,Default,의료_건강,0.06,0.05,1.075670623436112e+17,8.892455129164842e+16,41.04,40.82,118.38,37.31,71.42222222222222,207917184.44,196599428.67,327974179.39,298202198.67
0,ElasticNet,Default,소매_편의,0.04,0.03,1.4556575730825088e+17,2.037360211884552e+17,49.7,50.46,118.38,37.31,71.42222222222222,223095739.51,232865550.35,381530807.81,451371267.57
0,ElasticNet,Default,생활서비스,0.08,0.09,2.369778575300756e+16,2.0871110079023224e+16,61.28,61.54,118.38,37.31,71.42222222222222,91812067.35,89710975.31,153940851.48,144468370.51
0,ElasticNet,Default,교육_학원,0.11,0.14,1628820772111508.2,1688660256181355.0,67.19,68.04,118.38,37.31,71.42222222222222,26305309.48,26573936.67,40358651.76,41093311.57
0,ElasticNet,Default,미용_패션,0.14,0.13,2.030574869317984e+16,1.4579014198128604e+16,78.52,76.28,118.38,37.31,71.42222222222222,69467762.5,65017717.16,142498241.02,120743588.64
0,ElasticNet,Default,취미_레저,0.07,0.07,6.90904072553766e+16,4.976249528216378e+16,83.7,88.5,118.38,37.31,71.42222222222222,104624428.67,96416814.16,262850541.67,223075088.89
0,ElasticNet,Default,가구_전자기기,0.1,0.09,3.434797510939218e+16,3.566393172151325e+16,99.22,101.47,118.38,37.31,71.42222222222222,105455457.68,104453517.21,185332067.14,188848965.37
0,ElasticNet,Default,부동산_숙박,0.18,0.15,579357614640193.4,784456176245498.1,118.74,118.38,118.38,37.31,71.42222222222222,13195330.71,14358380.88,24069848.66,28008144.82
0,MLPRegressor,MinMax,교육_학원,-0.84,-0.78,3360611019828854.0,3482677711181673.0,99.96,99.96,100.0,99.96,99.98666666666666,39135270.92,39042052.57,57970777.29,59014216.18
0,MLPRegressor,MinMax,취미_레저,-0.21,-0.22,9.006129970070219e+16,6.5300528685180536e+16,99.99,99.98,100.0,99.96,99.98666666666666,124978872.05,108923941.09,300102148.78,255539681.23
0,MLPRegressor,MinMax,가구_전자기기,-0.29,-0.27,4.95916311096682e+16,4.972641399485093e+16,99.98,99.98,100.0,99.96,99.98666666666666,106266047.29,102923233.71,222691785.01,222994201.71
0,MLPRegressor,MinMax,미용_패션,-0.33,-0.43,3.1424705417037588e+16,2.408115855555576e+16,99.98,99.98,100.0,99.96,99.98666666666666,88456033.83,85220441.15,177270148.13,155181050.89
0,MLPRegressor,MinMax,식음료,-2.36,-2.71,8.401792420743926e+16,7.811606259853802e+16,99.99,99.99,100.0,99.96,99.98666666666666,242872363.2,238828440.62,289858455.47,279492509.02
0,MLPRegressor,MinMax,생활서비스,-0.87,-0.93,4.8208387386081896e+16,4.4107413922171576e+16,99.99,99.99,100.0,99.96,99.98666666666666,149801708.32,145752968.85,219564084.92,210017651.45
0,MLPRegressor,MinMax,의료_건강,-2.23,-2.48,3.715481896082608e+17,3.255483920181472e+17,100.0,100.0,100.0,99.96,99.98666666666666,506618565.63,481550861.6,609547528.59,570568481.44
0,MLPRegressor,MinMax,소매_편의,-1.33,-1.01,3.527376449373182e+17,4.234251387519719e+17,100.0,100.0,100.0,99.96,99.98666666666666,448842029.99,461510263.85,593917203.77,650711256.05
0,MLPRegressor,MinMax,부동산_숙박,-0.18,-0.16,826988025109962.1,1073406864614162.4,100.0,100.0,100.0,99.96,99.98666666666666,11112829.06,12129204.35,28757399.48,32762888.53
0,MLPRegressor,Standard,교육_학원,-0.84,-0.78,3356891779503107.0,3479046906355239.0,99.89,99.89,100.0,99.89,99.96777777777775,39107595.0,39015690.64,57938689.83,58983446.04
0,MLPRegressor,Standard,미용_패션,-0.33,-0.43,3.1415597792680096e+16,2.4072780309325628e+16,99.96,99.96,100.0,99.89,99.96777777777775,88436018.56,85201398.04,177244457.72,155154053.47
0,MLPRegressor,Standard,취미_레저,-0.21,-0.22,9.004624934906277e+16,6.528861936272952e+16,99.97,99.96,100.0,99.89,99.96777777777775,124952019.32,108901620.42,300077072.35,255516377.88
0,MLPRegressor,Standard,생활서비스,-0.87,-0.93,4.819368713231682e+16,4.4093936826898e+16,99.97,99.97,100.0,99.89,99.96777777777775,149771951.54,145725381.69,219530606.37,209985563.38
0,MLPRegressor,Standard,가구_전자기기,-0.29,-0.27,4.957879970134192e+16,4.9714437689161576e+16,99.97,99.97,100.0,99.89,99.96777777777775,106247549.79,102905753.39,222662973.35,222967346.69
0,MLPRegressor,Standard,식음료,-2.36,-2.71,8.399784113168565e+16,7.809801839284914e+16,99.98,99.98,100.0,99.89,99.96777777777775,242842715.93,238800985.04,289823810.5,279460226.85
0,MLPRegressor,Standard,의료_건강,-2.23,-2.48,3.715108754408206e+17,3.2551618901176826e+17,99.99,99.99,100.0,99.89,99.96777777777775,506590109.22,481525394.88,609516919.73,570540260.64
0,MLPRegressor,Standard,소매_편의,-1.33,-1.01,3.526947225068308e+17,4.2338253306038e+17,99.99,99.99,100.0,99.89,99.96777777777775,448806892.51,461477574.49,593881067.64,650678517.44
0,MLPRegressor,Standard,부동산_숙박,-0.18,-0.16,826979028344333.9,1073398505472127.4,100.0,100.0,100.0,99.89,99.96777777777775,11112843.32,12129262.56,28757243.06,32762760.96
0,MLPRegressor,Default,식음료,0.11,0.06,2.2259958520716884e+16,1.985855893669036e+16,42.69,42.16,115.35,42.16,72.96555555555557,103695166.1,100709654.44,149197716.2,140920399.29
0,MLPRegressor,Default,의료_건강,-0.18,-0.25,1.3552073846129166e+17,1.1723054969178003e+17,47.59,47.65,115.35,42.16,72.96555555555557,241085048.86,229448360.9,368131414.66,342389470.77
0,MLPRegressor,Default,소매_편의,-0.12,-0.06,1.6948147908321376e+17,2.2401703918785702e+17,53.81,53.31,115.35,42.16,72.96555555555557,241541796.17,246053699.71,411681283.38,473304383.23
0,MLPRegressor,Default,생활서비스,-0.01,0.0,2.6067369704813736e+16,2.278507274229429e+16,62.24,62.05,115.35,42.16,72.96555555555557,93244130.63,90451586.28,161453924.4,150947251.52
0,MLPRegressor,Default,교육_학원,0.04,0.05,1752172664568798.8,1852020675861607.2,68.07,69.9,115.35,42.16,72.96555555555557,26650233.82,27302406.63,41858961.58,43035109.8
0,MLPRegressor,Default,미용_패션,0.09,0.11,2.1527399190166776e+16,1.5006707351082806e+16,79.9,76.49,115.35,42.16,72.96555555555557,70687959.71,65200660.58,146722183.7,122501866.72
0,MLPRegressor,Default,취미_레저,0.04,0.05,7.149518458776897e+16,5.096578936670783e+16,82.52,85.68,115.35,42.16,72.96555555555557,103148372.29,93345530.73,267385834.68,225756039.49
0,MLPRegressor,Default,가구_전자기기,0.07,0.06,3.549582865009269e+16,3.6701915660879016e+16,100.87,104.1,115.35,42.16,72.96555555555557,107210331.19,107162393.72,188403366.88,191577440.38
0,MLPRegressor,Default,부동산_숙박,-0.02,-0.04,719724150081639.1,959922407402230.8,115.36,115.35,115.35,42.16,72.96555555555557,12820101.86,13991009.29,26827675.08,30982614.6
0,SVR,Standard,의료_건강,-0.03,-0.01,1.1780342623869587e+17,9.449524613069027e+16,41.77,41.08,96.16,41.08,66.83666666666666,211614499.56,197833898.04,343225037.31,307400790.71
0,SVR,Standard,식음료,-0.05,-0.05,2.6272274829741604e+16,2.2049741241928028e+16,45.69,44.11,96.16,41.08,66.83666666666666,110980555.95,105364019.95,162087244.5,148491552.76
0,SVR,Standard,소매_편의,-0.04,-0.04,1.5677739889779523e+17,2.1797160167874413e+17,49.05,50.88,96.16,41.08,66.83666666666666,220152400.22,234834995.41,395951258.23,466874288.95
0,SVR,Standard,생활서비스,-0.05,-0.05,2.709963398736684e+16,2.391620095031433e+16,62.57,62.53,96.16,41.08,66.83666666666666,93739041.67,91145194.96,164619664.64,154648637.08
0,SVR,Standard,교육_학원,-0.09,-0.08,1996613065550275.2,2123569030358452.8,68.65,69.53,96.16,41.08,66.83666666666666,26878160.93,27156428.93,44683476.43,46082198.63
0,SVR,Standard,미용_패션,-0.08,-0.1,2.557697616136153e+16,1.8518159243038176e+16,75.06,73.59,96.16,41.08,66.83666666666666,66410596.63,62721989.91,159928034.32,136081443.42
0,SVR,Standard,취미_레저,-0.05,-0.04,7.827571207572285e+16,5.5539794668332136e+16,77.05,75.99,96.16,41.08,66.83666666666666,96311090.42,82779750.04,279777969.25,235668824.13
0,SVR,Standard,가구_전자기기,-0.13,-0.12,4.342173842590746e+16,4.378846854243348e+16,88.07,87.66,96.16,41.08,66.83666666666666,93603157.61,90235003.27,208378833.92,209256943.83
0,SVR,Standard,부동산_숙박,-0.12,-0.11,788758572010418.5,1031357625180678.2,95.31,96.16,96.16,41.08,66.83666666666666,10592142.36,11663808.03,28084845.95,32114757.12
0,SVR,MinMax,의료_건강,-0.03,-0.01,1.17803424431362e+17,9.44952442972342e+16,41.77,41.08,96.16,41.08,66.83666666666666,211614495.92,197833894.12,343225034.68,307400787.73
0,SVR,MinMax,식음료,-0.05,-0.05,2.627227286093211e+16,2.2049739477434668e+16,45.69,44.11,96.16,41.08,66.83666666666666,110980548.7,105364012.92,162087238.43,148491546.82
0,SVR,MinMax,소매_편의,-0.04,-0.04,1.5677739874981325e+17,2.179716019269132e+17,49.05,50.88,96.16,41.08,66.83666666666666,220152398.13,234834992.47,395951258.05,466874289.21
0,SVR,MinMax,생활서비스,-0.05,-0.05,2.709963214160164e+16,2.391619908641293e+16,62.57,62.53,96.16,41.08,66.83666666666666,93739035.9,91145188.98,164619659.04,154648631.05
0,SVR,MinMax,교육_학원,-0.09,-0.08,1996613837451555.2,2123569694950615.2,68.65,69.53,96.16,41.08,66.83666666666666,26878156.53,27156422.14,44683485.06,46082205.84
0,SVR,MinMax,미용_패션,-0.08,-0.1,2.5576976192973508e+16,1.8518159033129096e+16,75.06,73.59,96.16,41.08,66.83666666666666,66410593.76,62721986.78,159928034.42,136081442.65
0,SVR,MinMax,취미_레저,-0.05,-0.04,7.827571205923182e+16,5.553979415453366e+16,77.05,75.99,96.16,41.08,66.83666666666666,96311083.89,82779742.01,279777969.22,235668823.04
0,SVR,MinMax,가구_전자기기,-0.13,-0.12,4.342173425004427e+16,4.3788464461911816e+16,88.07,87.66,96.16,41.08,66.83666666666666,93603157.21,90235003.42,208378823.9,209256934.08
0,SVR,MinMax,부동산_숙박,-0.12,-0.11,788758649147850.8,1031357698477820.0,95.31,96.16,96.16,41.08,66.83666666666666,10592143.5,11663808.86,28084847.32,32114758.27
0,SVR,Default,의료_건강,-0.03,-0.01,1.1780339807804486e+17,9.449522841630784e+16,41.77,41.08,96.16,41.08,66.83555555555556,211614488.86,197833895.04,343224996.29,307400761.9
0,SVR,Default,식음료,-0.05,-0.05,2.6272212666464804e+16,2.204968949389264e+16,45.69,44.11,96.16,41.08,66.83555555555556,110980431.89,105363913.62,162087052.74,148491378.52
0,SVR,Default,소매_편의,-0.04,-0.04,1.567773891412498e+17,2.1797158582414886e+17,49.05,50.88,96.16,41.08,66.83555555555556,220152384.96,234834967.57,395951245.91,466874271.97
0,SVR,Default,생활서비스,-0.05,-0.05,2.7099605918191704e+16,2.391617299290629e+16,62.57,62.52,96.16,41.08,66.83555555555556,93738964.27,91145119.07,164619579.39,154648546.69
0,SVR,Default,교육_학원,-0.09,-0.08,1996611289254344.8,2123566730633295.2,68.65,69.53,96.16,41.08,66.83555555555556,26878116.33,27156381.37,44683456.55,46082173.68
0,SVR,Default,미용_패션,-0.08,-0.1,2.557695726377779e+16,1.8518141855813404e+16,75.06,73.59,96.16,41.08,66.83555555555556,66410473.46,62721864.69,159927975.24,136081379.53
0,SVR,Default,취미_레저,-0.05,-0.04,7.827569465519203e+16,5.55397766224862e+16,77.05,75.99,96.16,41.08,66.83555555555556,96310944.46,82779595.27,279777938.11,235668785.85
0,SVR,Default,가구_전자기기,-0.13,-0.12,4.342166350551525e+16,4.378839611283502e+16,88.07,87.66,96.16,41.08,66.83555555555556,93603098.04,90234952.07,208378654.15,209256770.77
0,SVR,Default,부동산_숙박,-0.12,-0.11,788759049868580.0,1031358203773726.4,95.31,96.16,96.16,41.08,66.83555555555556,10592147.46,11663812.8,28084854.46,32114766.13
0,LGBMRegressor,MinMax,식음료,0.92,0.85,1901620045742216.0,3190709501902769.0,13.42,17.41,47.95,17.41,32.153333333333336,32598058.44,41575518.38,43607568.67,56486365.63
0,LGBMRegressor,MinMax,의료_건강,0.9,0.8,1.1475465688756236e+16,1.9059075549375344e+16,15.05,19.7,47.95,17.41,32.153333333333336,76234578.8,94852050.59,107123600.06,138054610.75
0,LGBMRegressor,MinMax,소매_편의,0.9,0.8,1.5043080595663004e+16,4.145204991939967e+16,18.36,23.85,47.95,17.41,32.153333333333336,82392059.82,110082506.54,122650236.83,203597765.02
0,LGBMRegressor,MinMax,생활서비스,0.88,0.78,3017021882789102.5,4958614901495808.0,23.03,29.96,47.95,17.41,32.153333333333336,34511104.74,43679995.11,54927423.78,70417433.22
0,LGBMRegressor,MinMax,교육_학원,0.88,0.82,217925297499471.38,346150061691849.4,25.56,31.1,47.95,17.41,32.153333333333336,10006392.82,12147271.08,14762293.1,18605108.48
0,LGBMRegressor,MinMax,미용_패션,0.93,0.85,1627740494287900.5,2589042657133125.0,26.05,31.61,47.95,17.41,32.153333333333336,23042745.51,26943164.02,40345266.07,50882636.11
0,LGBMRegressor,MinMax,취미_레저,0.89,0.85,7937238847668739.0,7845394052004061.0,33.43,42.08,47.95,17.41,32.153333333333336,41790633.42,45839369.47,89091182.77,88574229.05
0,LGBMRegressor,MinMax,가구_전자기기,0.91,0.78,3583141933455335.0,8631087226902861.0,33.0,45.72,47.95,17.41,32.153333333333336,35076966.27,47067884.64,59859351.26,92903644.85
0,LGBMRegressor,MinMax,부동산_숙박,0.97,0.91,21789537981304.22,87889695617366.64,21.74,47.95,47.95,17.41,32.153333333333336,2415927.38,5816432.7,4667926.52,9374950.43
0,LGBMRegressor,Standard,식음료,0.93,0.85,1859660883183195.2,3069659746148562.0,13.32,16.98,50.54,16.98,32.28666666666667,32352261.73,40550724.13,43123785.59,55404510.16
0,LGBMRegressor,Standard,의료_건강,0.9,0.78,1.206117993743424e+16,2.020161463150735e+16,15.3,19.75,50.54,16.98,32.28666666666667,77490807.87,95112236.59,109823403.41,142132384.18
0,LGBMRegressor,Standard,소매_편의,0.91,0.81,1.4200174161849008e+16,3.9301144253803896e+16,17.94,23.37,50.54,16.98,32.28666666666667,80528288.21,107880468.72,119164483.64,198245161.99
0,LGBMRegressor,Standard,생활서비스,0.88,0.79,3150864702306740.5,4752130539658391.0,23.24,29.54,50.54,16.98,32.28666666666667,34819175.78,43066876.76,56132563.65,68935698.59
0,LGBMRegressor,Standard,미용_패션,0.93,0.85,1547127004227478.5,2463990461664585.0,25.45,30.99,50.54,16.98,32.28666666666667,22518580.18,26414343.86,39333535.36,49638598.51
0,LGBMRegressor,Standard,교육_학원,0.88,0.81,223221949876213.2,363005657397373.75,25.61,31.76,50.54,16.98,32.28666666666667,10027940.8,12404225.42,14940614.11,19052707.35
0,LGBMRegressor,Standard,취미_레저,0.92,0.87,5985029924256294.0,6829467591779022.0,30.99,40.59,50.54,16.98,32.28666666666667,38739801.8,44214455.05,77362975.15,82640592.88
0,LGBMRegressor,Standard,가구_전자기기,0.9,0.77,3659264787817671.0,8933145617209699.0,33.66,47.06,50.54,16.98,32.28666666666667,35772711.08,48441159.86,60491857.2,94515319.48
0,LGBMRegressor,Standard,부동산_숙박,0.97,0.89,23069608138908.26,99673364655260.1,22.15,50.54,50.54,16.98,32.28666666666667,2461582.66,6130861.29,4803083.19,9983654.87
0,LGBMRegressor,Default,식음료,0.92,0.85,1901620045742216.0,3190804293857383.0,13.42,17.41,49.37,17.41,32.24777777777778,32598058.44,41579219.62,43607568.67,56487204.69
0,LGBMRegressor,Default,의료_건강,0.9,0.79,1.1837939746723768e+16,1.9586994524176788e+16,15.27,19.88,49.37,17.41,32.24777777777778,77360720.18,95755754.99,108802296.61,139953544.16
0,LGBMRegressor,Default,소매_편의,0.9,0.8,1.471742152082891e+16,4.303156652511997e+16,18.24,23.82,49.37,17.41,32.24777777777778,81881034.79,109948495.32,121315380.4,207440513.22
0,LGBMRegressor,Default,생활서비스,0.88,0.78,2997641477427870.5,4963132061467637.0,23.17,29.66,49.37,17.41,32.24777777777778,34718282.85,43232955.32,54750721.25,70449500.08
0,LGBMRegressor,Default,교육_학원,0.88,0.83,219792578855257.7,342153823202271.5,25.74,31.26,49.37,17.41,32.24777777777778,10078469.8,12209941.83,14825403.16,18497400.44
0,LGBMRegressor,Default,미용_패션,0.93,0.85,1585359662571699.2,2571731138207633.0,25.56,31.58,49.37,17.41,32.24777777777778,22610969.71,26916835.43,39816575.22,50712238.54
0,LGBMRegressor,Default,취미_레저,0.92,0.87,6198621851736467.0,7020773201789242.0,31.18,40.76,49.37,17.41,32.24777777777778,38972424.91,44405961.14,78731327.0,83790054.31
0,LGBMRegressor,Default,가구_전자기기,0.9,0.77,3665904159327976.0,8951300487922418.0,33.08,46.49,49.37,17.41,32.24777777777778,35162267.35,47857168.51,60546710.56,94611312.68
0,LGBMRegressor,Default,부동산_숙박,0.97,0.9,22523760828690.78,90675894315102.69,21.89,49.37,49.37,17.41,32.24777777777778,2432274.02,5988188.02,4745920.44,9522389.11
0,GradientBoostingRegressor,MinMax,식음료,0.7,0.63,7515843567190419.0,7888716588041181.0,28.7,29.76,69.78,29.76,46.45,69721718.82,71076691.22,86693965.0,88818447.34
0,GradientBoostingRegressor,MinMax,의료_건강,0.66,0.58,3.854115832986082e+16,3.919426665316167e+16,31.1,32.85,69.78,29.76,46.45,157575367.99,158202770.79,196319021.82,197975419.32
0,GradientBoostingRegressor,MinMax,소매_편의,0.48,0.36,7.834043607914189e+16,1.3498337869780306e+17,38.45,40.19,69.78,29.76,46.45,172583177.31,185474561.16,279893615.65,367400841.99
0,GradientBoostingRegressor,MinMax,부동산_숙박,0.97,0.93,18792357553718.25,68077064765504.37,27.14,40.2,69.78,29.76,46.45,3016593.65,4876262.66,4335015.29,8250882.67
0,GradientBoostingRegressor,MinMax,생활서비스,0.72,0.64,7144423678966496.0,8223216905728090.0,43.5,45.82,69.78,29.76,46.45,65172064.07,66792560.82,84524692.72,90681954.69
0,GradientBoostingRegressor,MinMax,미용_패션,0.84,0.78,3710909397026972.0,3774060576563871.0,49.28,50.55,69.78,29.76,46.45,43600873.17,43091319.32,60917233.99,61433383.24
0,GradientBoostingRegressor,MinMax,교육_학원,0.62,0.62,692384933325380.6,736994782004912.8,52.47,53.2,69.78,29.76,46.45,20543833.01,20779613.65,26313208.34,27147647.82
0,GradientBoostingRegressor,MinMax,취미_레저,0.88,0.85,8694448157520690.0,7856875021789442.0,49.36,55.7,69.78,29.76,46.45,61698052.05,60677373.79,93244024.78,88639015.23
0,GradientBoostingRegressor,MinMax,가구_전자기기,0.76,0.67,9175594782535268.0,1.2727767421891928e+16,63.51,69.78,69.78,29.76,46.45,67501986.08,71833651.82,95789324.99,112817407.44
0,GradientBoostingRegressor,Standard,식음료,0.7,0.63,7515843567190419.0,7886942800612403.0,28.7,29.76,69.74,29.76,46.54999999999999,69721718.82,71072339.81,86693965.0,88808461.31
0,GradientBoostingRegressor,Standard,의료_건강,0.66,0.58,3.854115832986082e+16,3.897009010556709e+16,31.1,32.8,69.74,29.76,46.54999999999999,157575367.99,157952623.52,196319021.82,197408434.74
0,GradientBoostingRegressor,Standard,소매_편의,0.48,0.36,7.834043607914187e+16,1.348887678651545e+17,38.45,40.2,69.74,29.76,46.54999999999999,172583177.31,185520800.6,279893615.65,367272062.46
0,GradientBoostingRegressor,Standard,부동산_숙박,0.97,0.92,18792357553718.24,74385453627862.19,27.14,41.16,69.74,29.76,46.54999999999999,3016593.65,4992008.55,4335015.29,8624700.21
0,GradientBoostingRegressor,Standard,생활서비스,0.72,0.64,7144423678966496.0,8234313760575709.0,43.5,45.83,69.74,29.76,46.54999999999999,65172064.07,66810208.36,84524692.72,90743119.63
0,GradientBoostingRegressor,Standard,미용_패션,0.84,0.77,3710909397026969.5,3800832605796903.0,49.28,50.64,69.74,29.76,46.54999999999999,43600873.17,43166656.87,60917233.99,61650892.98
0,GradientBoostingRegressor,Standard,교육_학원,0.62,0.62,692384933325380.6,739875868440958.1,52.47,53.25,69.74,29.76,46.54999999999999,20543833.01,20799253.1,26313208.34,27200659.34
0,GradientBoostingRegressor,Standard,취미_레저,0.88,0.85,8694448157520690.0,7756250057454902.0,49.36,55.57,69.74,29.76,46.54999999999999,61698052.05,60541247.41,93244024.78,88069575.1
0,GradientBoostingRegressor,Standard,가구_전자기기,0.76,0.67,9175594782535268.0,1.2728204015983148e+16,63.51,69.74,69.74,29.76,46.54999999999999,67501986.08,71793081.61,95789324.99,112819342.38
0,GradientBoostingRegressor,Default,식음료,0.7,0.63,7515843567190419.0,7897310564628837.0,28.7,29.76,69.76,29.76,46.46111111111112,69721718.82,71087719.27,86693965.0,88866813.63
0,GradientBoostingRegressor,Default,의료_건강,0.66,0.59,3.854115832986084e+16,3.87333555120783e+16,31.1,32.75,69.76,29.76,46.46111111111112,157575367.99,157724820.0,196319021.82,196807915.27
0,GradientBoostingRegressor,Default,부동산_숙박,0.97,0.93,18792357553718.24,67146931507009.17,27.14,40.18,69.76,29.76,46.46111111111112,3016593.65,4873197.26,4335015.29,8194323.13
0,GradientBoostingRegressor,Default,소매_편의,0.48,0.36,7.834043607914187e+16,1.3525994856096214e+17,38.45,40.27,69.76,29.76,46.46111111111112,172583177.31,185862530.79,279893615.65,367777036.48
0,GradientBoostingRegressor,Default,생활서비스,0.72,0.64,7144423678966496.0,8222283837786253.0,43.5,45.88,69.76,29.76,46.46111111111112,65172064.07,66883667.65,84524692.72,90676809.81
0,GradientBoostingRegressor,Default,미용_패션,0.84,0.78,3710909397026972.0,3782370553116222.5,49.28,50.64,69.76,29.76,46.46111111111112,43600873.17,43166892.25,60917233.99,61500980.1
0,GradientBoostingRegressor,Default,교육_학원,0.62,0.62,692384933325380.6,737479581725405.8,52.47,53.21,69.76,29.76,46.46111111111112,20543833.01,20781929.63,26313208.34,27156575.29
0,GradientBoostingRegressor,Default,취미_레저,0.88,0.85,8694448157520691.0,7791206367311762.0,49.36,55.7,69.76,29.76,46.46111111111112,61698052.05,60680776.4,93244024.78,88267810.48
0,GradientBoostingRegressor,Default,가구_전자기기,0.76,0.67,9175594782535270.0,1.2728395232446402e+16,63.51,69.76,69.76,29.76,46.46111111111112,67501986.08,71809922.56,95789324.99,112820189.83
0,RandomForestRegressor,MinMax,식음료,0.99,0.94,174319816358281.97,1167099318533218.8,3.71,9.85,30.09,9.85,18.51222222222222,9000716.99,23524521.55,13203023.0,34162835.34
0,RandomForestRegressor,MinMax,의료_건강,0.99,0.92,968389934335594.8,7117712195570765.0,3.66,10.19,30.09,9.85,18.51222222222222,18546589.06,49075938.27,31118964.22,84366534.81
0,RandomForestRegressor,MinMax,소매_편의,0.99,0.94,1303823140104859.5,1.3114681703257026e+16,4.17,11.28,30.09,9.85,18.51222222222222,18732583.65,52079253.1,36108491.25,114519350.78
0,RandomForestRegressor,MinMax,미용_패션,0.99,0.95,175210228273366.62,789360150709712.6,5.93,14.99,30.09,9.85,18.51222222222222,5248443.42,12779264.42,13236700.05,28095553.93
0,RandomForestRegressor,MinMax,교육_학원,0.99,0.91,24273959248363.49,172042669123665.16,7.04,18.21,30.09,9.85,18.51222222222222,2754975.68,7110441.97,4926860.99,13116503.69
0,RandomForestRegressor,MinMax,생활서비스,0.98,0.86,399857231748179.25,3220056195372010.0,6.26,18.34,30.09,9.85,18.51222222222222,9379490.17,26738202.28,19996430.48,56745538.99
0,RandomForestRegressor,MinMax,취미_레저,0.98,0.92,1227876328733015.8,4257352612677417.0,8.78,24.07,30.09,9.85,18.51222222222222,10979216.15,26225634.81,35041066.32,65248391.65
